recorded_time,agg_level,product_type,country,year,quarter,month,brand,total_market_size_rev,market_share_rev_pct,average_unit_price,market_share_unit_sold,market_share_unit_pct
2025-01-15,product_type.country.year,athletic_footwear,USA,2022,,,,14200000000.0,100.0,,113193314.83936694,100.0
2025-01-15,product_type.country.year.quarter,athletic_footwear,USA,2022,Q1,,,3425611283.59889,24.12402312393585,,26852019.4098101,23.72226614965372
2025-01-15,product_type.country.year.quarter,athletic_footwear,USA,2022,Q2,,,3506117245.1994014,24.69096651548875,,26707057.3238656,23.59420020675752
2025-01-15,product_type.country.year.quarter,athletic_footwear,USA,2022,Q3,,,3185770193.312628,22.43500136135654,,23743812.97640848,20.976338585104088
2025-01-15,product_type.country.year.quarter,athletic_footwear,USA,2022,Q4,,,4082501277.889079,28.75000899921888,,35890425.129282765,31.70719505848468
2025-01-15,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q1,January,,1241504001.539403,8.742985926333827,,9071292.98850646,8.013982982457545
2025-01-15,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q1,February,,1115523956.311039,7.855802509232671,,9206330.370185597,8.133281000958698
2025-01-15,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q1,March,,1068583325.7484478,7.525234688369352,,8574396.051118046,7.575002166237471
2025-01-15,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q2,April,,965413731.8877004,6.798688252730285,,7389161.465899821,6.527913310415732
2025-01-15,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q2,May,,1474252745.6079447,10.382061588788346,,11256457.022971973,9.944453909620062
2025-01-15,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q2,June,,1066450767.7037562,7.510216673970116,,8061438.834993811,7.121832986721724
2025-01-15,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q3,July,,1087849495.5780482,7.6609119406904815,,8109606.822967265,7.164386725908361
2025-01-15,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q3,August,,1171738142.9230654,8.251677062838493,,8633072.822431821,7.626839831206506
2025-01-15,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q3,September,,926182554.8115135,6.522412357827563,,7001133.331009391,6.185112027989219
2025-01-15,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q4,October,,1336343925.284851,9.4108727132736,,9895194.209257748,8.741853901266214
2025-01-15,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q4,November,,1319839359.6749463,9.294643377992582,,13201137.546470394,11.662471025964898
2025-01-15,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q4,December,,1426317992.9292817,10.04449290795269,,12794093.373554625,11.302870131253574
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Nike,331854019.6114823,26.73,148.08,2241045.5133136297,24.704807971179928
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Skechers,126757558.55717304,10.21,112.76,1124135.850985926,12.392233967199964
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Jordan Brand,111735360.13854624,8.999999999999998,176.69,632380.7806811152,6.97123090922492
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Under Armour,106396892.93192682,8.569999999999999,140.28,758460.8848868464,8.361111099022313
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Adidas,90753942.51253034,7.309999999999999,163.18,556158.4907006394,6.130972634279427
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Asics,79828707.29898359,6.429999999999998,132.49,602526.2834854221,6.6421212968078205
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Hoka One One,72876284.89036293,5.869999999999998,163.66,445290.7545543379,4.908790346850573
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,New Balance,65178960.080818646,5.249999999999999,126.89,513665.0648657786,5.662534167032245
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Puma,59592192.07389133,4.8,131.03,454798.0773402376,5.01359704638002
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Saucony,55867680.06927313,4.5,143.69,388807.0155840569,4.286125650187735
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Converse,24830080.030788057,2.0,75.34,329573.6664559073,3.633149837332835
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Brooks Sports,22967824.02847895,1.85,138.66,165641.30988373683,1.8259944871542373
2025-01-15,product.type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Vans,17753507.22201346,1.4299999999999995,68.44,259402.50178278,2.859597877738586
