recorded_time,agg_level,product_type,country,year,quarter,month,brand,brand_tier,parent_company,product_category,total_market_size_rev,market_share_rev_pct,average_unit_price,market_share_unit_sold,market_share_unit_pct
2025-01-15,product_type.country.year,athletic_footwear,USA,2022,,,,,,,13490000000.000004,100.0,,114345669.08945626,100.0
2025-01-15,product_type.country.year.quarter,athletic_footwear,USA,2022,Q1,,,,,,3188627818.443946,23.63697419157854,,26680732.045306288,23.33339973237911
2025-01-15,product_type.country.year.quarter,athletic_footwear,USA,2022,Q2,,,,,,3265320277.948029,24.20548760524854,,26511268.31211389,23.185196713811067
2025-01-15,product_type.country.year.quarter,athletic_footwear,USA,2022,Q3,,,,,,3084672868.431136,22.866366704456155,,24506104.992264763,21.43159875438121
2025-01-15,product_type.country.year.quarter,athletic_footwear,USA,2022,Q4,,,,,,3951379035.176892,29.29117149871676,,36647563.73977133,32.04980479942863
2025-01-15,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q1,January,,,,,1182694964.0660305,8.767197658013567,,9398050.59251557,8.218982552949313
2025-01-15,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q1,February,,,,,1062682491.3880136,7.877557386123153,,9214928.637595542,8.058834856601703
2025-01-15,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q1,March,,,,,943250362.9899018,6.992219147441821,,8067752.815195179,7.055582322828087
2025-01-15,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q2,April,,,,,919682866.5296396,6.817515689619269,,7503261.473605538,6.561911380950944
2025-01-15,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q2,May,,,,,1329703551.5003762,9.856957386956086,,10822156.69965566,9.46442203350014
2025-01-15,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q2,June,,,,,1015933859.9180132,7.531014528673187,,8185850.138852698,7.158863299359982
2025-01-15,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q3,July,,,,,1086128972.3631291,8.051363768444247,,8630708.122044344,7.547909939022057
2025-01-15,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q3,August,,,,,1116233857.5798855,8.274528225203005,,8766215.814229252,7.666417000342321
2025-01-15,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q3,September,,,,,882310038.4881215,6.540474710808905,,7109181.055991164,6.217271815016819
