recorded_time,agg_level,product_type,country,year,quarter,month,brand,total_market_size_count,market_share_count_pct
2025-01-16,product_type.country.year,athletic_footwear,USA,2022,,,,60000,100.0
2025-01-16,product_type.country.year.quarter,athletic_footwear,USA,2022,Q1,,,15000,25.0
2025-01-16,product_type.country.year.quarter,athletic_footwear,USA,2022,Q2,,,15000,25.0
2025-01-16,product_type.country.year.quarter,athletic_footwear,USA,2022,Q3,,,15000,25.0
2025-01-16,product_type.country.year.quarter,athletic_footwear,USA,2022,Q4,,,15000,25.0
2025-01-16,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q1,January,,5000,8.333333333333332
2025-01-16,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q1,February,,5000,8.333333333333332
2025-01-16,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q1,March,,5000,8.333333333333332
2025-01-16,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q2,April,,5000,8.333333333333332
2025-01-16,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q2,May,,5000,8.333333333333332
2025-01-16,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q2,June,,5000,8.333333333333332
2025-01-16,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q3,July,,5000,8.333333333333332
2025-01-16,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q3,August,,5000,8.333333333333332
2025-01-16,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q3,September,,5000,8.333333333333332
2025-01-16,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q4,October,,5000,8.333333333333332
2025-01-16,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q4,November,,5000,8.333333333333332
2025-01-16,product_type.country.year.quarter.month,athletic_footwear,USA,2022,Q4,December,,5000,8.333333333333332
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Nike,862,17.24
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Adidas,678,13.56
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Hoka One One,433,8.66
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,On,347,6.94
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Skechers,304,6.08
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Jordan Brand,209,4.18
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,New Balance,236,4.72
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Under Armour,162,3.24
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,VEJA,115,2.3
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Asics,132,2.64
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Puma,106,2.12
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Converse,106,2.12
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Salomon,67,1.34
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Reebok,71,1.4200000000000002
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Saucony,77,1.54
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Brooks Sports,76,1.52
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Lululemon,62,1.24
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,The North Face,68,1.36
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Altra Running,67,1.34
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Anta Sports,62,1.24
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,K-Swiss,57,1.14
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Timberland,36,0.72
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Merrell,43,0.86
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Mizuno,48,0.96
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Kappa,41,0.8200000000000001
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Lacoste,35,0.7000000000000001
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Vans,30,0.6
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Xero Shoes,51,1.02
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Cariuma,30,0.6
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Autry,30,0.6
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Fila,23,0.4599999999999999
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Diadora,22,0.44
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Champion,17,0.3399999999999999
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,AND1,27,0.54
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Arc'teryx,24,0.48
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Spira,24,0.48
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Keds,24,0.48
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Allbirds,20,0.4
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,British Knights,27,0.54
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Macbeth Footwear,24,0.48
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,KangaROOs,23,0.4599999999999999
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Athletic Propulsion Labs,13,0.26
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Heelys,16,0.32
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Topo Athletic,19,0.38
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Craft,16,0.32
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Wilson Sporting Goods,16,0.32
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,La Sportiva,13,0.26
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,January,Li-Ning,11,0.22
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Nike,893,17.86
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Adidas,646,12.920000000000002
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Hoka One One,446,8.92
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,On,336,6.72
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Skechers,300,6.0
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Jordan Brand,210,4.2
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,New Balance,219,4.38
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Under Armour,151,3.02
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,VEJA,125,2.5
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Asics,131,2.62
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Puma,90,1.7999999999999998
2025-01-16,product_type.country.year.quarter.month.brand,athletic_footwear,USA,2022,Q1,February,Converse,111,2.22
